COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,CATEGORY_TITLE,VIEW_COUNT,LIKES_RATIO
BR,1/06/2021,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,278080610,5.83
CA,1/06/2021,Guess the sound challenge🎵 #shorts,Tsuriki Show,Comedy,107534237,2.72
DE,1/06/2021,Guess the sound challenge🎵 #shorts,Tsuriki Show,Comedy,107534237,2.72
FR,1/06/2021,TWICE Alcohol-Free M/V,JYP Entertainment,Music,78550806,3.31
GB,1/06/2021,Guess the sound challenge🎵 #shorts,Tsuriki Show,Comedy,115182723,2.72
IN,1/06/2021,Paytm IPL 2021 Ad - The Salon (English),Paytm,People & Blogs,141191928,0
JP,1/06/2021,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,289350312,5.66
KR,1/06/2021,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,296314174,5.56
MX,1/06/2021,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,Music,274715791,5.88
RU,1/06/2021,Who Is SMARTER? 😂 #shorts,LankyBox,Gaming,55538419,3.46
US,1/06/2021,Turn into egg - Tutorial #Shorts,Fortnite Fun TV,Entertainment,92004215,3.09
BR,1/07/2021,Turn into orbeez - Tutorial #Shorts,FFUNTV,Entertainment,175875729,3.36
CA,1/07/2021,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,194625542,2.54
DE,1/07/2021,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,176598344,2.59
FR,1/07/2021,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,162473728,7.52
GB,1/07/2021,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,194625542,2.54
IN,1/07/2021,Filhaal2 Mohabbat | Akshay Kumar Ft Nupur Sanon | Ammy Virk | BPraak | Jaani | Arvindr Khaira,DM - Desi Melodies,Music,202091414,1.98
JP,1/07/2021,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,172293664,7.2
KR,1/07/2021,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,194795844,6.55
MX,1/07/2021,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,Music,172293664,7.2
RU,1/07/2021,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,Entertainment,134577553,2.79
US,1/07/2021,Turn into orbeez - Tutorial #Shorts,FFUNTV,Entertainment,196872957,3.31
BR,1/08/2021,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,Music,74108304,7.74
CA,1/08/2021,Amazing Liquid Experiment #shorts by Family Booms,FAMILY BOOMS,Entertainment,82908930,3.43
DE,1/08/2021,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,Entertainment,117218206,3.84
FR,1/08/2021,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,Music,67101307,7.94
GB,1/08/2021,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,Entertainment,121633557,3.82
IN,1/08/2021,Don’t be Oversmart 😎 ~ You Can’t Change your Destiny 😂 ~ @Priyal Kukreja  Dushyant Kukreja #shorts,Dushyant kukreja,Entertainment,100949001,3.92
JP,1/08/2021,Red Velvet 레드벨벳 'Queendom' MV,SMTOWN,Music,53197217,3.94
KR,1/08/2021,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,Music,73755929,7.75
MX,1/08/2021,Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts,BANGTANTV,Music,61713036,9.21
RU,1/08/2021,Join the BTS #PermissiontoDance Challenge only on YouTube #Shorts,YouTube,Education,51624621,0
